chiSquare info:
米饭 16.5174910117
铁板 15.0834195911
沙拉 15.0834195911
体验 14.8930573718
光盘 14.8426812585
健身 14.8426812585
电影 14.8426812585
台一 14.8426812585
双人房 14.8426812585
洗漱 14.8426812585
用品 14.8426812585
中医 13.9935974638
口味 13.8866956178
多用 13.7848222863
保修卡 13.7848222863
爱人 13.7848222863
故事 13.7848222863
解放军 13.7848222863
女款 13.7848222863
年历 13.7848222863
双人 13.7102734664
高级 13.5858026401
能量 13.5858026401
全能 13.5858026401
照片 13.5021896303
养生 13.4567250849
抵用券 12.7371664995
通用 12.5663279527
锅底 12.4613749533
温泉 12.3330491617
外景 12.3330491617
相框 12.3330491617
标准间 12.3330491617
设施 12.3330491617
网络 12.3330491617
宽带 12.3330491617
蔬菜 12.2508181726
消费 11.6155209566
礼盒 11.1026940243
精致 11.0700731906
食用 11.0443894972
木耳 11.0443894972
牛排 11.0443894972
套装 10.9841281161
国际 10.5812465517
背部 10.4238602302
足疗 10.4238602302
乳 10.4238602302
雕 10.4238602302
场次 9.83792360875
pvc 9.83792360875
大片 9.83792360875
婚纱 9.83792360875
24小时 9.83792360875
客栈 9.83792360875
大堂 9.83792360875
网吧 9.83792360875
刻盘 9.83792360875
自带 9.83792360875
视觉 9.83792360875
课程 9.79575008928
领取 9.79575008928
午餐 9.63566634708
招牌 9.63566634708
生菜 9.63566634708
餐厅 9.63566634708
蒜 9.63566634708
芝士 9.63566634708
蛋糕 9.63566634708
4人 9.47159190231
巧克力 9.39127451192
用户 9.35206464527
迪士尼 9.16347381865
加厚 9.16347381865
教学 9.16347381865
课时 9.16347381865
刀具 9.16347381865
切片 9.16347381865
爵士 9.16347381865
爱康 9.16347381865
新街口 9.16347381865
分院 9.16347381865
爸爸妈妈 9.16347381865
贴心 9.16347381865
礼物 9.16347381865
法定 9.16347381865
假日 9.16347381865
教育 9.16347381865
专卖店 9.16347381865
空军 9.16347381865
关爱 9.16347381865
南极 9.16347381865
商场 9.16347381865
城区 9.16347381865
灰色 9.16347381865
阅读 9.16347381865
福州 9.16347381865
家居 9.16347381865
血糖 9.16347381865
mo 9.16347381865
sg 9.16347381865
皮毛 9.16347381865
雪地 9.16347381865
型号 9.16347381865
尺码 9.16347381865
齐全 9.16347381865
培训 9.16347381865
肚皮舞 9.16347381865
血压 9.16347381865
叠加 9.16347381865
印务 9.16347381865
优惠券 9.16347381865
说明书 9.16347381865
整机 9.16347381865
保修 9.16347381865
领先 9.16347381865
品质 9.16347381865
信誉 9.16347381865
孝敬 9.16347381865
长辈 9.16347381865
自助 9.08205407933
配送 8.99052397485
卷 8.97996743718
可选 8.90666854645
diy 8.90666854645
形象 8.74721426297
典雅 8.74721426297
远红外线 8.74721426297
可心 8.74721426297
减肥 8.74721426297
单项 8.74721426297
计时 8.74721426297
气血 8.74721426297
微循环 8.74721426297
高科技 8.74721426297
养护 8.74721426297
嫩肤 8.74721426297
重塑 8.74721426297
黑发 8.74721426297
减压 8.74721426297
修复 8.74721426297
清洗 8.74721426297
资深 8.74721426297
发型 8.74721426297
修剪 8.74721426297
发源地 8.74721426297
黑人 8.74721426297
卷发 8.74721426297
防护 8.74721426297
清爽 8.74721426297
美肌 8.74721426297
化妆水 8.74721426297
两片 8.74721426297
透明 8.74721426297
粉底液 8.74721426297
象牙 8.74721426297
肤色 8.74721426297
紫色 8.74721426297
东方 8.74721426297
女人 8.74721426297
手臂 8.74721426297
巩固 8.74721426297
v1 8.74721426297
真善美 8.74721426297
去斑 8.74721426297
生活馆 8.74721426297
细胞 8.74721426297
激活 8.74721426297
仪器 8.74721426297
脊椎 8.74721426297
穴位 8.74721426297
造型师 8.74721426297
头发 8.74721426297
环山 8.74721426297
高端 8.74721426297
健胃 8.74721426297
呼吸 8.74721426297
顺畅 8.74721426297
卵巢 8.74721426297
植物 8.74721426297
胸部 8.74721426297
氨基酸 8.74721426297
审美 8.74721426297
生活化 8.74721426297
lp 8.74721426297
修护 8.74721426297
工程 8.74721426297
亲亲 8.74721426297
雅思 8.74721426297
生化 8.74721426297
北大街 8.74721426297
ufo 8.74721426297
还原 8.74721426297
菲尔 8.74721426297
药水 8.74721426297
自体 8.74721426297
神采 8.74721426297
焦点 8.74721426297
最长 8.74721426297
膀胱 8.74721426297
弹力 8.74721426297
毛囊 8.74721426297
止痒 8.74721426297
佛山 8.74721426297
南方 8.74721426297
新一 8.74721426297
水润 8.74721426297
娇兰 8.74721426297
嫩白 8.74721426297
对抗 8.74721426297
紫外线 8.74721426297
高频 8.74721426297
魔力 8.74721426297
腹部 8.74721426297
女王 8.74721426297
离子 8.74721426297
多张 8.74721426297
短发 8.74721426297
威尔 8.74721426297
空气 8.74721426297
灵感 8.74721426297
分享 8.74721426297
美容美体 8.74721426297
步法 8.74721426297
疗法 8.74721426297
繁花 8.74721426297
尤物 8.74721426297
眼线笔 8.74721426297
东四 8.74721426297
秀发 8.74721426297
生鱼片 8.74721426297
酸奶 8.74721426297
面食 8.74721426297
随心 8.74721426297
ip 8.74721426297
one 8.74721426297
儿童 8.68142510505
全家福 8.68142510505
女性 8.41882035251
海报 8.33739055894
美食 8.23513344779
烤肉 8.23513344779
玉米 8.23513344779
芒果 8.23513344779
小菜 8.23513344779
蛋 8.23513344779
姜 8.23513344779
萝卜 8.23513344779
南瓜 8.23513344779
晚餐 8.23513344779
鱼片 8.23513344779
香草 8.23513344779
按摩 8.21201091902
水果 7.61869711206
房间 7.35717918291
新娘 7.35717918291
油画 7.35717918291
ktv 7.35717918291
高清 7.35717918291
标准 7.35717918291
实景 7.35717918291
人一 7.35717918291
电影院 7.35717918291
套票 7.35717918291
足球 7.35717918291
滑雪场 7.35717918291
滑雪 7.35717918291
鞋 7.35717918291
缆车 7.35717918291
全天 7.35717918291
礼服 7.35717918291
俱乐部 7.35717918291
时段 7.35717918291
液晶电视 7.35717918291
中央空调 7.35717918291
热水 7.35717918291
茶水 7.35717918291
桌球 7.35717918291
休息 7.35717918291
银座 7.35717918291
光纤 7.35717918291
山东省 7.35717918291
单人房 7.35717918291
艺术 7.35717918291
刀 7.15520801202
健康 7.14171847601
中药 6.9159108853
会所 6.84772617849
煲 6.84271957981
情人 6.84271957981
生态 6.84271957981
果汁 6.84271957981
葱 6.84271957981
炒饭 6.84271957981
鸳鸯 6.84271957981
黄瓜 6.84271957981
肥牛 6.84271957981
原味 6.84271957981
猪 6.7597542528
肠 6.7597542528
化妆 6.35341326807
会馆 6.29874833293
爆米花 6.29874833293
五星级 6.29874833293
咖啡 6.16531165312
个性 6.0690698554
世界 6.06221279604
好礼 6.06221279604
自取 5.99798387097
邀请 5.69105691057
好友 5.69105691057
返利 5.69105691057
烧烤 5.4583543469
笋 5.4583543469
鱼丸 5.4583543469
五花肉 5.4583543469
餐具 5.4583543469
料理 5.4583543469
开胃 5.4583543469
野生 5.4583543469
菠菜 5.4583543469
八宝 5.4583543469
鹅 5.4583543469
奶油 5.4583543469
土豆 5.4583543469
粥 5.4583543469
咖喱 5.4583543469
白菜 5.4583543469
鸭血 5.4583543469
纸巾 5.4583543469
布丁 5.4583543469
寿司 5.4583543469
酒 5.4583543469
大黄 5.4583543469
单人 5.43805421598
美国 5.43805421598
精美 5.12742345618
电影票 4.89069190895
影片 4.89069190895
牛奶 4.89069190895
用具 4.89069190895
掌中 4.89069190895
定做 4.89069190895
类型 4.89069190895
仿真 4.89069190895
数码 4.89069190895
锦江 4.89069190895
行政 4.89069190895
套房 4.89069190895
结婚 4.89069190895
证件 4.89069190895
大型 4.89069190895
真人 4.89069190895
有效期 4.89069190895
溶洞 4.89069190895
尊贵 4.89069190895
架 4.89069190895
鸡尾酒 4.89069190895
蓝色 4.89069190895
旅游 4.89069190895
可换 4.89069190895
全场 4.89069190895
台球 4.89069190895
数码照片 4.89069190895
相片 4.89069190895
城墙 4.89069190895
灯会 4.89069190895
夫子庙 4.89069190895
白鹭 4.89069190895
公园 4.89069190895
童话世界 4.89069190895
妆容 4.89069190895
放大 4.89069190895
框 4.89069190895
皮夹 4.89069190895
叫醒 4.89069190895
花园 4.89069190895
游戏 4.89069190895
中选 4.89069190895
泳池 4.89069190895
画 4.89069190895
封面 4.89069190895
消毒 4.89069190895
儿童摄影 4.89069190895
vip 4.89069190895
金色 4.89069190895
专业化 4.89069190895
幸福 4.89069190895
u盘 4.89069190895
拷贝 4.89069190895
卫浴 4.89069190895
box 4.89069190895
wii 4.89069190895
项目 4.89069190895
游戏币 4.89069190895
大地 4.89069190895
古风 4.89069190895
刻录 4.89069190895
内含 4.89069190895
身体 4.89069190895
有氧 4.89069190895
牵引 4.89069190895
枯燥 4.89069190895
回馈 4.85553030362
品牌 4.85553030362
快乐 4.85553030362
颜色 4.85553030362
枕 4.85553030362
现代 4.85553030362
父母 4.85553030362
卡通 4.85553030362
电子 4.85553030362
韩国 4.85348267126
创意 4.85348267126
日本 4.85348267126
隐性 4.85348267126
欢乐 4.74662350709
崇明 4.71542042837
银 4.68329939544
产品 4.6709962889
私家 4.56860872334
裁缝 4.56860872334
正装 4.56860872334
西服 4.56860872334
西裤 4.56860872334
面料 4.56860872334
工艺 4.56860872334
总价值 4.56860872334
衬衫 4.56860872334
品位 4.56860872334
尊崇 4.56860872334
象征 4.56860872334
手帕 4.56860872334
盒装 4.56860872334
快递费 4.56860872334
爬爬 4.56860872334
王国 4.56860872334
维尼 4.56860872334
白雪公主 4.56860872334
随身 4.56860872334
吉他 4.56860872334
小班 4.56860872334
百事 4.56860872334
严寒 4.56860872334
三件套 4.56860872334
熟食 4.56860872334
水果刀 4.56860872334
剪刀 4.56860872334
实木 4.56860872334
魔术 4.56860872334
丝巾 4.56860872334
音乐 4.56860872334
演奏 4.56860872334
二次 4.56860872334
非洲 4.56860872334
盆 4.56860872334
损坏 4.56860872334
终生 4.56860872334
维修 4.56860872334
小故事 4.56860872334
讲述 4.56860872334
责任 4.56860872334
成长 4.56860872334
学习 4.56860872334
习惯 4.56860872334
小朋友 4.56860872334
伙伴 4.56860872334
爱看 4.56860872334
家用 4.56860872334
若水 4.56860872334
数学 4.56860872334
科学 4.56860872334
实验 4.56860872334
国际象棋 4.56860872334
围棋 4.56860872334
魔方 4.56860872334
监护人 4.56860872334
七彩 4.56860872334
玩具 4.56860872334
牙龈 4.56860872334
药物 4.56860872334
保障 4.56860872334
健身卡 4.56860872334
身心 4.56860872334
花店 4.56860872334
花束 4.56860872334
公仔 4.56860872334
高密度 4.56860872334
亚光 4.56860872334
供电 4.56860872334
题材 4.56860872334
英语 4.56860872334
教室 4.56860872334
欧亚 4.56860872334
外语培训 4.56860872334
少儿英语 4.56860872334
小学 4.56860872334
新概念 4.56860872334
幽默 4.56860872334
情节 4.56860872334
导读 4.56860872334
情景 4.56860872334
活泼 4.56860872334
初一 4.56860872334
年级 4.56860872334
同步 4.56860872334
课文 4.56860872334
语法 4.56860872334
技巧 4.56860872334
初二 4.56860872334
初三 4.56860872334
中考 4.56860872334
冲刺 4.56860872334
写作 4.56860872334
听力 4.56860872334
高一 4.56860872334
高二 4.56860872334
高三 4.56860872334
高考 4.56860872334
厨具 4.56860872334
冠军 4.56860872334
典藏 4.56860872334
维也纳 4.56860872334
简约 4.56860872334
炒锅 4.56860872334
过节 4.56860872334
不二 4.56860872334
玛丽亚 4.56860872334
形态 4.56860872334
内科 4.56860872334
妇科 4.56860872334
心电图 4.56860872334
乳腺 4.56860872334
宫颈 4.56860872334
tc 4.56860872334
彩色 4.56860872334
b超 4.56860872334
盆腔 4.56860872334
子宫 4.56860872334
附件 4.56860872334
血脂 4.56860872334
白带 4.56860872334
阴道 4.56860872334
乙肝 4.56860872334
色彩 4.56860872334
服饰 4.56860872334
知识 4.56860872334
神奇 4.56860872334
理论 4.56860872334
穿衣 4.56860872334
法则 4.56860872334
衣橱 4.56860872334
秘诀 4.56860872334
课题 4.56860872334
红色 4.56860872334
